Timestamp (UTC),Bot ID,Wallet,Type,Mint (full),SOL Delta,Token Delta,Transaction Hash,Slot
2026-06-29T06:52:25.000Z,BOT-328,GHjidfwRHVSFV7t3zHALf4x82Zf8ELLrcSWGuugS4wiB,BUY,AKr5cpCFfQpNA6pSVLxkUVkVfrEnVk9ht4kNsaGd7V1M,-0.046841,38.20,4QEYsxpnbUq4ANhG2vDSdpJdzANcz2jYJ7zrYDCg23N6vvCyuQWrtqfqwQtTLuA9A8UqWtBqt4Yj4yD69j1od2XM,429615597
2026-06-29T06:43:22.000Z,BOT-241,GqNRKEJ7YAJQ86QQ166BDzumrnnRUWBWup9MUjmc16GT,BUY,AKr5cpCFfQpNA6pSVLxkUVkVfrEnVk9ht4kNsaGd7V1M,-0.026920,21.20,qDDZjCRjZK289disXD5v4Gjp4fTQ8Dp9EStu5Zub46fvuBrYF2BAdbrEmyT4ekdEQR6ffe5K7xsNqXykxRuDQe6,429614234
2026-06-29T06:40:56.000Z,BOT-265,FjLWwFAEkjWYaJqJZbdCm1PuUEjCcppgAWZRuqmKXYro,BUY,AKr5cpCFfQpNA6pSVLxkUVkVfrEnVk9ht4kNsaGd7V1M,-0.012309,10.50,6PTm2DbLu9ucHA5LHQxPtsCS3TZ9yY98Vju2etfmgUhLnDBYAXWn9dWpPRvTkYcVVuWPa9wNKuQhzci3b6gw17i,429613873
2026-06-29T06:40:28.000Z,BOT-265,FjLWwFAEkjWYaJqJZbdCm1PuUEjCcppgAWZRuqmKXYro,BUY,AKr5cpCFfQpNA6pSVLxkUVkVfrEnVk9ht4kNsaGd7V1M,-0.014383,10.50,4WSxwHEN7QpmTDbN1yswUP3avmPGjJWfTaDyXTpDejQef1z2uEVA4W6oZgV5ySYQjCyWZW7S8ZLgtrTqu3tPSAPW,429613805
2026-06-29T06:38:31.000Z,BOT-268,BSkexvbUbduKXrdA2EBXvp8A28gq5tY21Uy5pQBwJUfv,BUY,AKr5cpCFfQpNA6pSVLxkUVkVfrEnVk9ht4kNsaGd7V1M,-0.006180,3.50,325wmUg2ktZQDEDb84jL9kmbEjuNKsZXFXF27Vxau2i5xN8H7u1Gd6BpGz78KNe22PgMZjrBkf4j3R28wEkuLbT1,429613516
2026-06-29T06:37:10.000Z,BOT-292,J1HsPZMCWMJy4YKK25z3fU9vhq7fuB16m294Pvz25oh3,BUY,AKr5cpCFfQpNA6pSVLxkUVkVfrEnVk9ht4kNsaGd7V1M,-0.013211,9.50,5zH42G2s6vQTfMEUpin8YSxVu3sGoygi5PmNkWqWYqiR6idptL3Mkztfgx3YW4nuAF9r8itE2ANwyER6xKZLHVLT,429613311
2026-06-29T06:37:07.000Z,BOT-240,pFd7o8qVgwRR1Youm4b1c4i5NHFwJUomyJsaa8Vjk9o,BUY,AKr5cpCFfQpNA6pSVLxkUVkVfrEnVk9ht4kNsaGd7V1M,-0.006180,3.50,3Tse569H4hpJFVccAEPQDhoaTASDfabdXdmGpQK3BPV5a5rKawgSTa8t2NDG3vNZA5FZCPD9QFJpC1FUyUZSSL1i,429613304
2026-06-29T06:35:32.000Z,BOT-219,5LA9FfWy2HdhyNkV9HjkLFiPPVk5aFWKgoEiLmNUcebk,BUY,AKr5cpCFfQpNA6pSVLxkUVkVfrEnVk9ht4kNsaGd7V1M,-0.016292,13.90,4UwkRk121Bg9LDWnNzjernUuHtUEYmEnMray4henFz6MhVMfm9xcLMkpGmsxtBRKj4GfxwRanrXXczZ9siJ3jN7p,429613063
2026-06-29T06:35:13.000Z,BOT-219,5LA9FfWy2HdhyNkV9HjkLFiPPVk5aFWKgoEiLmNUcebk,BUY,AKr5cpCFfQpNA6pSVLxkUVkVfrEnVk9ht4kNsaGd7V1M,-0.018366,13.90,2jTYshqR7yMmhFkBMAScbNYU8RCW7dTWBk7MRk8rpScqaBqTxK4rTLhr8auu3D7j3g4oNwgCjKSkgZaJ4RvG1JcX,429613016
2026-06-29T06:29:49.000Z,BOT-238,4L2DdngKETyMo86SdLmdzeAvVHAuCG3718kExd8F3v6j,BUY,AKr5cpCFfQpNA6pSVLxkUVkVfrEnVk9ht4kNsaGd7V1M,-0.043087,35.00,4pU3reLtb6XdDZ6Tfq3p41bGTivmDMgUZEQiCW7BPiAzqQF4mHJoFuc6y5obNc7VJfQyK1DvAYUPsSCNFMm6G3oj,429612215
2026-06-29T06:27:41.000Z,BOT-201,39QVcVcAumNpDspVGXMkj4eifnfz2ZNuNRXoFozUzzq4,BUY,AKr5cpCFfQpNA6pSVLxkUVkVfrEnVk9ht4kNsaGd7V1M,-0.029964,23.80,2VmjoKCNDoN1Di8HGrhJXWAo7AnCMLsS65UEunb8cKUZg8vTtRUscKtWjRJLuYxNJwVo1JCFkw8kjoUK8SrBUEJV,429611899
2026-06-29T06:21:43.000Z,BOT-234,7mNYLV7AAnfjahosFXLXeP1JkHPZ4eaDYP9Q9SGaWvaR,BUY,AKr5cpCFfQpNA6pSVLxkUVkVfrEnVk9ht4kNsaGd7V1M,-0.012307,10.50,5H1UeogT6upRuhz7KobiPy6G8XUgS1Y3Nvg4JJxikRREFr5NUTdejzGL59pkqgkNvsFjEFehQ2ZhYSy1TCWYS2Ah,429611011
2026-06-29T06:21:20.000Z,BOT-234,7mNYLV7AAnfjahosFXLXeP1JkHPZ4eaDYP9Q9SGaWvaR,BUY,AKr5cpCFfQpNA6pSVLxkUVkVfrEnVk9ht4kNsaGd7V1M,-0.014381,10.50,2oKLVG7BRCS9WHamzqdkJJjCy7AzitXaQ5dXm1aXm1sPANMut9DNCaakbhjTkWFKFRTTKvezgz3xUutJj2uMgzJL,429610952
2026-06-29T06:21:15.000Z,BOT-069,2qn6ad94SA29bvQ68DqJKgZXP268TdR74uxwB9fPFq1J,BUY,AKr5cpCFfQpNA6pSVLxkUVkVfrEnVk9ht4kNsaGd7V1M,-0.004106,3.50,2cTDkPEVREHTqzMYANKDogMKqaNNJRVW8BxpH4w4Zo5WaNzGSFwezveJbMcmmyGJwTXeKcs4ysadtjb47ENz3Gjg,429610939
2026-06-29T06:17:14.000Z,BOT-217,B6SkNrpYcgu1AeSANArbWtyoLAcz9LMdmAQsdp4QfZx1,BUY,AKr5cpCFfQpNA6pSVLxkUVkVfrEnVk9ht4kNsaGd7V1M,-0.034181,27.40,3WNMmhfJL1rmPLkVnshwBgemjTnSwG2JPBsX9u8PaMixegzppBkZxnGgaq4dUgB5qKRPwhdSTt5U2NEEYv2G1msm,429610342
